timestamp,indication_counter,latency_us,ue1_ngap_id,ue1_ran_ue_id,ue1_prb_dl,ue1_prb_ul,ue1_pdcp_dl_kb,ue1_pdcp_ul_kb,ue1_delay_us,ue1_thp_dl_kbps,ue1_thp_ul_kbps,ue2_ngap_id,ue2_ran_ue_id,ue2_prb_dl,ue2_prb_ul,ue2_pdcp_dl_kb,ue2_pdcp_ul_kb,ue2_delay_us,ue2_thp_dl_kbps,ue2_thp_ul_kbps
1761132145498092,1,1761130384365947,21,1,302,17730,6,928,0,6.93,948.78,22,2,280,17892,5,1022,0,6.18,1044.64
1761132146498116,2,1761130385365970,21,1,85,19979,0,2692,0,0.98,2702.03,22,2,75,21919,0,3106,0,0.94,3123.2
1761132147497888,3,1761130386365741,21,1,196,13580,0,2055,407,1.54,2068.5,22,2,80,27482,0,7427,0,0.36,7468.1
1761132148498855,4,1761130387366707,21,1,160,10982,0,2019,0,0.77,2032,22,2,175,29534,1,13450,0,1.99,13518.09
1761132149497988,5,1761130388365839,21,1,180,8768,2,2021,737,3.65,2034.33,22,2,183,24127,2,13829,195,3.62,13897.34
1761132150498238,6,1761130389366088,21,1,175,9061,3,2057,660,4.3,2071.01,22,2,147,16072,2,7902,0,3.48,7949.85
1761132151497876,7,1761130390365725,21,1,175,8960,3,2057,346,4.34,2070.84,22,2,161,15960,3,8398,0,4.25,8440.73
1761132152498829,8,1761130391366677,21,1,180,8840,2,2033,0,3.62,2046.47,22,2,140,16099,3,8127,0,4.13,8171.62
1761132153497769,9,1761130392365616,21,1,180,8976,3,2046,0,4.32,2059.01,22,2,150,15912,3,7961,0,4.2,8000.82
1761132154497803,10,1761130393365649,21,1,175,8733,3,2022,0,4.32,2035.26,22,2,150,16151,3,8186,308,4.2,8234.8
1761132155499277,11,1761130394367122,21,1,180,8837,3,2034,627,4.32,2047.9,22,2,150,16770,3,8127,325,4.2,8175.42
1761132156498056,12,1761130395365900,21,1,175,9132,3,2069,513,4.32,2085.14,22,2,155,16337,3,8257,152,4.22,8290.34
1761132157498274,13,1761130396366117,21,1,190,8900,3,2034,138,4.39,2043.98,22,2,165,16539,3,8280,91,4.25,8324.67
1761132158498083,14,1761130397365925,21,1,195,8675,3,2046,579,4.39,2058.9,22,2,150,16355,2,7843,0,3.48,7885.62
1761132159497899,15,1761130398365740,21,1,175,9035,3,2057,223,4.32,2070.86,22,2,155,16409,3,8316,0,4.22,8370.9
1761132160497806,16,1761130399365646,21,1,180,8859,2,2045,0,3.62,2058.17,22,2,155,15870,3,8009,0,4.22,8041.87
1761132161497842,17,1761130400365681,21,1,195,8678,3,1998,0,4.39,2011.34,22,2,145,16329,3,8174,561,4.18,8217.91
1761132162497818,18,1761130401365656,21,1,165,8910,3,2022,594,4.3,2036.01,22,2,145,16334,3,8316,125,4.15,8364.93
1761132163497801,19,1761130402365638,21,1,190,8792,3,2046,0,4.39,2058.85,22,2,155,16675,3,8115,0,4.2,8157.94
1761132164497830,20,1761130403365666,21,1,180,9019,3,2057,426,4.34,2069.99,22,2,150,16334,3,8339,608,4.2,8379.04
1761132165498458,21,1761130404366293,21,1,175,9199,3,2093,254,4.34,2106.96,22,2,155,16244,2,8020,0,3.5,8072.31
1761132166497960,22,1761130405365794,21,1,170,8769,3,1998,124,4.27,2011.5,22,2,175,16684,3,8091,0,4.3,8137.2
1761132167497834,23,1761130406365667,21,1,175,9040,2,2069,0,3.6,2086.35,22,2,155,16457,3,8351,0,4.22,8390.76
1761132168498092,24,1761130407365924,21,1,160,9282,3,2022,0,4.25,2043.14,22,2,155,15885,3,8139,0,4.2,8175.38
1761132169497867,25,1761130408365698,21,1,170,8815,3,1987,0,4.27,1989.66,22,2,150,16263,3,7997,0,4.18,8045.81
1761132170498139,26,1761130409365969,21,1,175,9313,3,2105,0,4.3,2120.09,22,2,150,15883,3,8127,0,4.2,8164.43
1761132171497900,27,1761130410365729,21,1,160,8798,3,2046,721,4.3,2055.88,22,2,160,16484,3,8209,404,4.25,8254.57
1761132172498469,28,1761130411366297,21,1,180,8921,3,2034,105,4.34,2057.73,22,2,155,16584,3,8351,591,4.22,8394.7
1761132173498149,29,1761130412365976,21,1,190,9033,3,2069,0,4.39,2072.22,22,2,155,16466,3,7962,95,4.22,8014.76
1761132174499321,30,1761130413367147,21,1,175,8695,3,2010,0,4.32,2023.36,22,2,145,16418,3,8150,0,4.15,8189.9
1761132175497788,31,1761130414365613,21,1,175,8844,3,2046,0,4.3,2059.01,22,2,150,16368,3,8020,0,4.2,8059.59
1761132176497785,32,1761130415365609,21,1,185,8727,3,2010,0,4.39,2024.07,22,2,155,16731,3,8410,0,4.22,8453.66
1761132177497832,33,1761130416365655,21,1,165,9060,3,2069,0,4.27,2082.05,22,2,160,16949,3,8198,0,4.25,8253.36
1761132178497771,34,1761130417365593,21,1,185,8924,3,2034,0,4.34,2047.11,22,2,150,16227,3,8174,418,4.2,8206.02
1761132179497947,35,1761130418365768,21,1,165,9320,3,2081,988,4.3,2094.9,22,2,150,16145,3,8174,454,4.2,8229.37
