timestamp,indication_counter,latency_us,ue1_ngap_id,ue1_ran_ue_id,ue1_prb_dl,ue1_prb_ul,ue1_pdcp_dl_kb,ue1_pdcp_ul_kb,ue1_delay_us,ue1_thp_dl_kbps,ue1_thp_ul_kbps,ue1_is_burst,ue1_prb_allocation,ue2_ngap_id,ue2_ran_ue_id,ue2_prb_dl,ue2_prb_ul,ue2_pdcp_dl_kb,ue2_pdcp_ul_kb,ue2_delay_us,ue2_thp_dl_kbps,ue2_thp_ul_kbps,ue2_is_burst,ue2_prb_allocation,rc_drb_id,rc_qfi,rc_mapping_ind
1.76159E+15,1,1.76158E+15,21,1,1607923,16113537,5,951,0,9.07,978.04,0,11,22,2,1607949,16112965,4,1105,0,8.45,1134.01,0,13,5,9,1
1.76159E+15,2,1.76158E+15,21,1,125,20178,0,2681,0,1.01,2690.66,0,32,22,2,125,22132,0,3283,0,0.98,3297.96,0,39,5,9,1
1.76159E+15,3,1.76158E+15,21,1,173,13668,0,2019,0,1.49,2035.54,0,24,22,2,109,27603,0,7888,803,1.08,7928.45,0,95,5,9,1
1.76159E+15,4,1.76158E+15,21,1,165,10593,0,2008,912,1.49,2018.33,0,24,22,2,142,29826,0,13886,0,1.32,13969.64,0,106,5,9,1
1.76159E+15,5,1.76158E+15,21,1,185,8761,2,2033,540,3.65,2047.12,0,24,22,2,213,22923,3,12448,277,4.3,12515.46,0,106,5,9,1
1.76159E+15,6,1.76158E+15,21,1,190,9201,3,2034,345,4.37,2047.97,0,24,22,2,177,15876,3,7879,628,4.27,7910.81,0,94,5,9,1
1.76159E+15,7,1.76158E+15,21,1,165,9037,3,2010,75,4.27,2023.48,0,24,22,2,156,16979,3,8410,365,4.22,8453.86,0,101,5,9,1
1.76159E+15,8,1.76159E+15,21,1,185,8913,3,2140,674,4.34,2152.41,0,25,22,2,155,16320,3,8198,570,4.22,8241.46,0,98,5,9,1
1.76159E+15,9,1.76159E+15,21,1,185,8994,3,2022,264,4.34,2037.64,0,24,22,2,140,15628,2,7961,0,3.43,8010.06,0,96,5,9,1
1.76159E+15,10,1.76159E+15,21,1,185,8909,3,2046,640,4.37,2060.77,0,24,22,2,155,16096,3,8103,0,4.22,8141.11,0,97,5,9,1
1.76159E+15,11,1.76159E+15,21,1,175,8923,3,2034,654,4.3,2043.1,0,24,22,2,165,16514,3,8233,0,4.25,8276.4,0,99,5,9,1
1.76159E+15,12,1.76159E+15,21,1,175,9282,3,2010,453,4.3,2028.54,0,24,22,2,165,16103,4,8104,316,4.94,8157.83,0,97,5,9,1
1.76159E+15,13,1.76159E+15,21,1,180,8988,3,2022,184,4.34,2031.33,0,24,22,2,160,16448,3,8328,625,4.25,8368.94,0,100,5,9,1
1.76159E+15,14,1.76159E+15,21,1,180,9029,3,2057,86,4.32,2071.57,0,24,22,2,160,16307,3,8221,294,4.22,8258.73,0,99,5,9,1
1.76159E+15,15,1.76159E+15,21,1,175,8900,3,2057,177,4.32,2069.53,0,24,22,2,165,16721,3,8139,71,4.27,8182.46,0,98,5,9,1
1.76159E+15,16,1.76159E+15,21,1,160,9234,3,2022,772,4.3,2042.14,0,24,22,2,145,16434,3,8127,571,4.15,8170.93,0,98,5,9,1
1.76159E+15,17,1.76159E+15,21,1,190,8662,3,2057,312,4.37,2064.03,0,24,22,2,155,16185,3,8186,495,4.2,8229.7,0,98,5,9,1
1.76159E+15,18,1.76159E+15,21,1,160,9111,2,2033,0,3.55,2047.89,0,24,22,2,155,16266,2,8114,0,3.53,8157.67,0,97,5,9,1
1.76159E+15,19,1.76159E+15,21,1,180,8768,3,2081,2388,4.34,2104.84,0,25,22,2,160,16403,3,7902,749,4.25,7955.23,0,95,5,9,1
1.76159E+15,20,1.76159E+15,21,1,170,8829,3,2034,520,4.27,2038.68,0,24,22,2,160,16418,3,8481,140,4.22,8516.16,0,102,5,9,1
1.76159E+15,21,1.76159E+15,21,1,170,8983,3,2046,371,4.3,2055.96,0,24,22,2,155,16110,3,7902,199,4.25,7944.94,0,95,5,9,1
1.76159E+15,22,1.76159E+15,21,1,180,8738,3,2010,793,4.37,2023.2,0,24,22,2,155,17249,3,8174,657,4.2,8222.22,0,98,5,9,1
1.76159E+15,23,1.76159E+15,21,1,175,8861,3,2057,190,4.3,2070.94,0,24,22,2,140,16311,2,8209,0,3.46,8252.79,0,99,5,9,1
1.76159E+15,24,1.76159E+15,21,1,170,8892,2,2033,0,3.58,2058.05,0,24,22,2,140,16377,3,8245,0,4.18,8293.9,0,99,5,9,1
1.76159E+15,25,1.76159E+15,21,1,170,8749,3,2069,371,4.32,2070.88,0,24,22,2,160,16190,3,8091,742,4.22,8125.78,0,97,5,9,1
1.76159E+15,26,1.76159E+15,21,1,180,9167,3,2046,121,4.32,2059.05,0,24,22,2,155,16381,3,8174,553,4.2,8222.41,0,98,5,9,1
1.76159E+15,27,1.76159E+15,21,1,175,8980,3,1987,214,4.3,2000.05,0,24,22,2,150,16520,3,8268,229,4.2,8308.14,0,99,5,9,1
